銘柄名,記号,分類,ボックス
日経平均,^N225,日本株,20
トヨタ,7203.T,日本株,20
ソニーグループ,6758.T,日本株,50
三菱UFJ,8306.T,日本株,0.5
ソフトバンクG,9984.T,日本株,20
日立,6501.T,日本株,50
ファーストリテイリング,9983.T,日本株,50
任天堂,7974.T,日本株,50
東京エレクトロン,8035.T,日本株,50
キーエンス,6857.T,日本株,50
ダイキン工業,6367.T,日本株,50
信越化学,4063.T,日本株,50
KDDI,9433.T,日本株,5
ホンダ,7267.T,日本株,5
NEXT FUNDS TOPIX,1306.T,日本株,5
NYダウ,^DJI,米国株,20
S&P500,^GSPC,米国株,50
NASDAQ,^IXIC,米国株,100
アップル,AAPL,米国株,2
マイクロソフト,MSFT,米国株,2
エヌビディア,NVDA,米国株,2
ドル円,USDJPY=X,FX,0.1
ユーロ円,EURJPY=X,FX,0.1
ポンド円,GBPJPY=X,FX,0.2
豪ドル円,AUDJPY=X,FX,0.1
カナダ円,CADJPY=X,FX,0.1
スイス円,CHFJPY=X,FX,0.1
ユーロドル,EURUSD=X,FX,0.001
ポンドドル,GBPUSD=X,FX,0.002
豪ドルドル,AUDUSD=X,FX,0.001
WTI先物,CL=F,原油,0.5
ブレント先物,BZ=F,原油,0.5
金先物,GC=F,金,5
SPDRゴールド(東証),1320.T,金,5
ビットコイン(円),BTC-JPY,仮想通貨,5000
イーサリアム(円),ETH-JPY,仮想通貨,500
リップル(円),XRP-JPY,仮想通貨,0.5
ソラナ(円),SOL-JPY,仮想通貨,50
ドージコイン(円),DOGE-JPY,仮想通貨,0.1
ビットコイン(ドル),BTC-USD,仮想通貨,500
